USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
999999,93115,IMPERIAL BEACH REAM FIELD NAS,US,CA,KNRS,32.567,-117.117,7,19450501,19721231
999999,93116,SAN NICHOLAS ISLAND,US,CA,KNSI,33.25,-119.45,153.6,19450401,19721201
999999,93118,SALTON SEA NAAF,US,CA,,33.2,-115.833,-68.9,19450401,19451101
999999,93120,THERMAL NAF,US,CA,,33.617,-116.167,-36,19450401,19450801
999999,93121,TWENTY NINE PALMS,US,CA,KNXP,34.3,-116.167,625.1,19450501,19451031
999999,93124,SANTA BARBARA MCAS,US,CA,,34.433,-119.85,4,19450401,19460301
999999,93134,LOS ANGELES DOWNTOWN USC CAMP,US,CA,KCQT,34.024,-118.291,56.4,19990701,19991231
999999,93136,MOUNT WILSON,US,CA,KMWS,34.233,-118.067,1738.9,19490101,19491231
999999,93184,SANTA ANA,US,CA,KSNA,33.68,-117.866,16.8,19680101,19721231
999999,93193,FRESNO YOSEMITE INTL AP,US,CA,KFAT,36.78,-119.719,99.7,19650101,19711231
999999,93209,PASO ROBLES MUNICIPAL ARPT,US,CA,KPRB,35.67,-120.628,249,19530101,19650101
999999,93211,OAKLAND NAS,US,CA,NBJ,37.733,-122.2,2.1,19490601,19541031
999999,93215,POINT ARGUELLO AFWB,US,CA,,34.667,-120.583,111.9,19590701,19650401
999999,93216,BEALE AFB,US,CA,KBAB,39.133,-121.433,34.4,19710101,19710101
999999,93217,FRITZSCHE AAF,US,CA,KOAR,36.683,-121.767,43.9,19710101,19710101
999999,93226,PT POEDRAS BLANCA,US,CA,K87Q,35.666,-121.285,18,19980202,19981231
999999,93243,MERCED 23 WSW,US,CA,,37.238,-120.883,23.8,20040325,20201030
999999,93245,BODEGA 6 WSW,US,CA,,38.321,-123.075,19.2,20080614,20201030
A06854,115,BIG BEAR CITY AIRPORT,US,CA,KL35,34.264,-116.854,2057.1,20140731,20201030
A07049,320,PETALUMA MUNICIPAL AIRPORT,US,CA,KO69,38.25,-122.6,27.1,20140731,20201030
A07053,346,TRINITY CENTER AIRPORT,US,CA,KO86,40.983,-122.694,728.2,20140731,20200925
698414,99999,319 MISSILE SQ,US,CO,KQXG,40.5,-103.833,1880,20010320,20010411
720262,94076,MC ELROY AFLD,US,CO,K20V,40.054,-106.369,2258.9,20060101,20130430
720262,99999,MC ELROY AFLD,US,CO,,40.054,-106.369,2258.9,20040525,20051231
720385,419,BERTHOUD PASS,US,CO,K0CO,39.8,-105.766,4113.3,20070401,20201030
720385,99999,BERTHOUD PASS,US,CO,K0CO,39.8,-105.767,4113,20080101,20180520
720424,99999,CAMP RED DEVIL,US,CO,K1PW,38.5,-104.917,1816.9,20131119,20131119
720524,99999,FREMONT CO AIRPORT,US,CO,,38.428,-105.106,1657.8,20120713,20130430
720528,3064,CENTRAL COLORADO REGIONAL AP,US,CO,KAEJ,38.698,-106.07,2421.9,20100401,20201030
720529,429,HOPKINS FIELD AIRPORT,US,CO,KAIB,38.239,-108.563,1810.5,20121206,20200504
720529,99999,HOPKINS FIELD,US,CO,KAIB,38.233,-108.567,1811,20080704,20080704
720531,158,BLAKE FIELD AIRPORT,US,CO,KAJZ,38.783,-108.067,1583.1,20120209,20201030
720531,99999,BLAKE FIELD / DELTA,US,CO,KAJZ,38.783,-108.067,1583,20180101,20180514
720532,159,HARRIET ALEXANDER FIELD AIRPORT,US,CO,KANK,38.533,-106.05,2294.2,20091121,20201030
720532,99999,HARRIET- ALEXANDER FIELD,US,CO,KANK,38.533,-106.05,2294,20180101,20180514
720533,160,BOULDER MUNICIPAL AIRPORT,US,CO,KBDU,40.033,-105.217,1612.1,20100201,20201030
720533,99999,BOULDER MUNICIPAL AIRPORT,US,CO,KBDU,40.039,-105.226,1612,20180105,20180322
720534,161,ERIE MUNICIPAL AIRPORT,US,CO,KEIK,40.017,-105.05,1564.2,20140701,20201030
720534,99999,ERIE MUNI,US,CO,KEIK,40.017,-105.05,1564,20100218,20140630
720535,162,FORT MORGAN MUNICIPAL AIRPORT,US,CO,KFMM,40.333,-103.8,1393.2,20120726,20201030
720535,99999,FORT MORGAN MUNI,US,CO,KFMM,40.334,-103.804,1392.3,20180101,20180515
720536,99999,GRANBY GRAND CO,US,CO,KGNB,40.09,-105.917,2500.3,20170703,20201029
720537,163,HOLYOKE AIRPORT,US,CO,KHEQ,40.567,-102.267,1137.2,20101129,20201030
720537,99999,HOLYOKE,US,CO,KHEQ,40.569,-102.273,1136.9,20180107,20180322
720538,164,VANCE BRAND AIRPORT,US,CO,KLMO,40.167,-105.167,1541.1,20101202,20201030
720538,99999,VANCE BRAND AIRPORT,US,CO,KLMO,40.167,-105.167,1541,20180101,20180515
720539,165,STEVENS FIELD AIRPORT,US,CO,KPSO,37.283,-107.05,2335.1,20091001,20201030
720539,99999,STEVENS FIELD,US,CO,KPSO,37.283,-107.05,2335,20180101,20180515
720544,168,STERLING MUNICIPAL AIRPORT,US,CO,KSTK,40.617,-103.267,1231.1,20101129,20201030
720544,99999,STERLING MUNI,US,CO,KSTK,40.615,-103.265,1230.8,20180128,20180515
720641,99999,SCHRIEVER AFB,US,CO,KSHM,38.8,-104.517,1899.5,20121018,20180217
720642,99999,CHEYENNE MTN AS,US,CO,KCWN,38.75,-104.85,2114,20121120,20201029
720852,280,MEADOW LAKE AIRPORT,US,CO,KFLY,38.946,-104.57,2095.2,20101201,20201030
720852,99999,MEADOW LAKE AIRPORT,US,CO,KFLY,38.946,-104.57,2095.2,20180110,20180515
720934,99999,WRAY MUNI,US,CO,,40.1,-102.241,1120.7,20110512,20130430
720987,99999,JULIET (PEETZ),US,CO,K1JW,40.967,-103.2,1380.1,20130829,20201029
720989,99999,LIMA (GROVER),US,CO,K1LW,40.917,-103.7,1518.8,20141215,20201029
720991,99999,MIKE (HAXTUN),US,CO,K1MW,40.7,-103.483,1336.2,20120702,20201029
720992,99999,NOVEMBER (GROVER),US,CO,K1NW,40.633,-103.833,1459.1,20141215,20201029
720993,99999,OSCAR (GROVER),US,CO,K1OW,40.883,-104,1649,20130226,20201029
722061,3038,COPPER MOUNTAIN,US,CO,KCCU,39.467,-106.15,3680.2,20060101,20201030
722061,99999,COPPER MOUNTAIN RE,US,CO,KCCU,39.467,-106.15,3680,20040713,20051231
722101,3039,WOLF CREEK PASS AWOS-3 AIRPORT,US,CO,KCPW,37.45,-106.8,3593.9,20060101,20201030
722101,99999,PAGOSA SPRINGS WOL,US,CO,KCPW,37.45,-106.8,3584,19730101,20051231
722155,3040,MONUMENT HILL AWOS-3 ARPT,US,CO,KMNH,39.217,-104.633,2151.9,20060101,20201030
722155,99999,ELBERT MTN MONUMENT,US,CO,KMNH,39.217,-104.633,2125,20040525,20051231
722203,3041,MONARCH PASS AWOS-3 ARPT,US,CO,KMYP,38.483,-106.317,3667.1,20060101,20201030
722203,99999,SALIDA MTN MONARCH P,US,CO,KMYP,38.483,-106.317,3667,20040525,20051231
722333,3069,SAGUACHE MUNICIPAL AIRPORT,US,CO,K04V,38.097,-106.169,2385.4,20060101,20201030
722333,99999,SAGUACHE MUNCICIPAL,US,CO,K04V,38.1,-106.167,2385,20041005,20051231
722817,3068,ELLICOTT-B AFA,US,CO,KABH,38.767,-104.3,1837.9,20060501,20201030
724293,376,MOUNT WERNER,US,CO,K3MW,40.46,-106.76,3241.2,20050322,20140721
724293,99999,MOUNT WERNER,US,CO,K3MW,40.46,-106.76,3241,20080101,20081231
724620,23061,SAN LUIS VALLEY REGIONAL AIRPORT,US,CO,KALS,37.439,-105.861,2296.1,19730101,20201030
724625,93005,DURA-LA PLATA CO AIRPORT,US,CO,KDRO,37.143,-107.76,2033,20060101,20201030
724625,99999,DURANGO-LA PLATA CO,US,CO,KDRO,37.14,-107.76,2038,19730101,20051231
724627,3011,TELLURIDE REGIONAL AIRPORT,US,CO,KTEX,37.95,-107.9,2770.9,20060101,20201030
724627,99999,TELLURIDE RGNL,US,CO,KTEX,37.95,-107.917,2767,19870213,20051231
724630,99999,LAMAR,US,CO,,38.083,-102.617,1103,19741113,20040306
724635,23067,LA JUNTA MUNICIPAL AIRPORT,US,CO,KLHX,38.049,-103.513,1278.3,19421101,20201030
724636,3013,LAMAR MUNICIPAL AIRPORT,US,CO,KLAA,38.072,-102.687,1124.1,20060101,20201030
724636,99999,LAMAR MUNI,US,CO,KLAA,38.07,-102.688,1130,19951128,20051231
724640,93058,PUEBLO MEMORIAL AIRPORT,US,CO,KPUB,38.289,-104.506,1441.4,19421001,20201030
724645,23070,PERRY STOKES AIRPORT,US,CO,KTAD,37.262,-104.338,1749.9,19730101,20201030
724646,3028,COMANCHE NATIONAL GRASSLAND,US,CO,KSPD,37.283,-102.614,1335.9,20060101,20201030
724646,99999,SPRINGFIELD COMANCHE,US,CO,KSPD,37.283,-102.617,1335,19990114,20051231
724660,93037,CITY OF COLORADO SPRINGS MUNICIPAL  AP,US,CO,KCOS,38.81,-104.688,1884,19420901,20201030
724663,99999,PETERSON AFB,US,CO,,38.817,-104.733,1876,19420901,19480401
724665,93010,LIMON MUNICIPAL AIRPORT,US,CO,KLIC,39.275,-103.666,1638,19730101,20201030
724665,99999,LIMON MUNI,US,CO,KLIC,39.267,-103.667,1635,20000101,20031231
724666,93067,CENTENNIAL AIRPORT,US,CO,KAPA,39.57,-104.849,1793.1,20060101,20201030
724666,99999,CENTENNIAL,US,CO,KAPA,39.57,-104.849,1793,19801204,20051231
724670,3017,DENVER INTL AP,US,CO,KDEN,39.833,-104.658,1655.4,19741113,19940529
724671,99999,LEADVILLE/LAKE CO.,US,CO,LXV,39.25,-106.3,3096,19480103,19900206
724673,93009,LEADVILLE/LAKE COUNTY APT,US,CO,KLXV,39.229,-106.317,3027.3,20060101,20201030
724673,99999,LAKE CO,US,CO,KLXV,39.22,-106.317,3026,19900208,20051231
724674,94050,MEEKER AIRPORT,US,CO,KEEO,40.044,-107.889,1940.4,20060101,20201030
724674,99999,MEEKER,US,CO,KEEO,40.049,-107.886,1957,19781031,20051231
724675,23063,EAGLE CO REGIONAL AIRPORT,US,CO,KEGE,39.65,-106.917,1980.3,19730101,20201030
724675,99999,EAGLE CO RGNL,US,CO,KEGE,39.633,-106.917,1993,20000101,20031231
724676,93073,ASPEN-PITKIN COUNTY ARPT,US,CO,KASE,39.23,-106.871,2353.1,20060101,20201030
724676,99999,ASPEN PITKIN CO SARD,US,CO,KASE,39.223,-106.869,2384,19730101,20051231
724677,93007,GUNSN-CRSTED BUTTE RGL APT,US,CO,KGUC,38.533,-106.933,2336.6,20020902,20201030
724677,99999,GUNNISON CO. (AWOS),US,CO,KGUC,38.534,-106.933,2339,19730101,20041231
724678,94033,STEAMBOAT SPRINGS/BOB ADAMS FIELD AIRPORT,US,CO,KSBS,40.517,-106.867,2096.7,20110214,20201030
724678,99999,STEAMBOAT SPRINGS B,US,CO,KSBS,40.516,-106.866,2096,19840607,20040402
724679,99999,WINTER PARK RESORT,US,CO,,39.88,-105.77,2771,19860501,19930715
724680,94015,BUTTS AAF AIRPORT,US,CO,KFCS,38.678,-104.757,1779.4,19660915,20201030
724680,99999,FORT CARSON/BUTTS,US,CO,KFCS,38.7,-104.767,1789,20000104,20041230
724684,99999,SALIDA,US,CO,,38.517,-106.017,2186,19870403,19920707
724685,99999,SALIDA/ALEXANDER,US,CO,0V2,38.533,-106.05,2282,19730101,19860910
724689,3026,KIT CARSON COUNTY AIRPORT,US,CO,KITR,39.245,-102.284,1277.7,20060101,20201030
724689,99999,KIT CARSON COUNTY,US,CO,KITR,39.25,-102.283,1286,19990114,20051231
724690,23062,DENVER WSFO,US,CO,KDNR,39.75,-104.867,1612,19400515,19950301
724690,99999,DENVER/STAPLETON INT,US,CO,KDNR,39.75,-104.867,1611.9,20021121,20021121
724694,450,FRONT RANGE AIRPORT,US,CO,KFTG,39.784,-104.538,1680.4,20051203,20200130
724694,99999,FRONT RANGE,US,CO,KFTG,39.785,-104.543,1680.1,20080101,20180516
724695,23036,BUCKLEY AIR FORCE BASE,US,CO,KBKF,39.717,-104.75,1726.1,19440301,20201030
724695,99999,BUCKLEY AFB,US,CO,KBKF,39.7,-104.75,1726,20000101,20041231
724696,99999,FRASER,US,CO,,39.95,-105.833,2609,19730101,19740624
724697,99999,FORT COLLINS DOWNTOWN,US,CO,,40.588,-105.042,1505.4,19730101,19940901
724698,24015,COLORADO PLAINS RGNL ARPT,US,CO,KAKO,40.167,-103.217,1421.3,19730101,20201030
724698,99999,COLORADO PLAINS RGNL,US,CO,KAKO,40.183,-103.217,1437,20000101,20031231
724699,3065,ATCT ROCKY MOUNTAIN METRO,US,CO,KBJC,39.9,-105.117,1705.4,20060101,20201030
724699,99999,BROOMFIELD/JEFFCO,US,CO,KBJC,39.917,-105.117,1728,19810801,20051231
724760,23066,GRAND JUNCTION REGIONAL AIRPORT,US,CO,KGJT,39.134,-108.54,1480.7,19730101,20201030
724765,93013,MONTROSE REGIONAL AIRPORT,US,CO,KMTJ,38.506,-107.899,1743.5,20060101,20201030
724765,99999,MONTROSE RGNL,US,CO,KMTJ,38.517,-107.894,1755,19730101,20051231
724766,99999,MONTROSE,US,CO,,38.5,-107.883,1752,19730101,19901011
724767,93069,CORTEZ MUNICIPAL AIRPORT,US,CO,KCEZ,37.307,-108.626,1801.4,20060101,20201030
724767,99999,CORTEZ MUNI,US,CO,KCEZ,37.3,-108.633,1804,19730101,20051231
724768,24051,GREELEY-WELD COUNTY ARPT,US,CO,KGXY,40.436,-104.632,1431.7,20060101,20201030
724768,99999,GREELEY WELD CO,US,CO,KGXY,40.437,-104.633,1432,19880105,20051231
724769,94035,FORT COLLINS LOVELAND AP,US,CO,KFNL,40.45,-105.017,1528.6,20060101,20201030
724769,99999,FORT COLLINS (AWOS),US,CO,KFNL,40.45,-105.017,1529,19860501,20051231
725650,3017,DENVER INTERNATIONAL AIRPORT,US,CO,KDEN,39.833,-104.658,1650.2,19940718,20201030
725700,24046,CRAIG-MOFFAT AIRPORT,US,CO,KCAG,40.493,-107.524,1886.7,20060101,20201030
725700,99999,CRAIG-MOFFAT,US,CO,KCAG,40.5,-107.533,1915,19770827,20051231
725710,94025,YAMPA VALLEY AIRPORT,US,CO,KHDN,40.481,-107.218,2011.7,20050101,20201030
725715,94025,HAYDEN/YAMPA (AWOS),US,CO,KHDN,40.481,-107.218,2012.3,20060101,20100331
725715,99999,HAYDEN/YAMPA (AWOS),US,CO,,40.483,-107.217,2012,19730101,20041231
725716,99999,RIFLE AVIATION WEATHER REPORTING,US,CO,,39.53,-107.8,1622,19730101,19960630
725717,3016,GARFIELD CO REGIONAL ARPT,US,CO,KRIL,39.528,-107.72,1683.1,20060101,20201030
725717,99999,GARFIELD CO RGNL,US,CO,KRIL,39.533,-107.733,1690,19870609,20051231
726391,385,BALD MOUNTAIN COTTONWOOD PASS,US,CO,K7BM,38.783,-106.217,2995.3,20050611,20201030
726391,99999,COTTONWOOD PASS,US,CO,K7BM,38.78,-106.22,2995,20080101,20180520
726392,424,SUNLIGHT,US,CO,K5SM,39.433,-107.383,3232.1,20050611,20201030
726392,99999,SUNLIGHT MTN,US,CO,K5SM,39.43,-107.38,3232,20080129,20180520
726396,422,WILKERSON PASS,US,CO,K4BM,39.05,-105.516,3438.1,20050611,20201030
726396,99999,WILKERSON PASS,US,CO,K4BM,39.05,-105.51,3438,19760926,20180515
740002,3042,LA VETA PASS AWOS-3 ARPT,US,CO,KVTP,37.5,-105.167,3114.1,20060101,20201030
740002,99999,LA VETA MOUNTAIN PAS,US,CO,KVTP,37.5,-105.167,3114,20040510,20051231
745310,93065,USAF ACADEMY AIRSTRIP AIRPORT,US,CO,KAFF,38.967,-104.817,2003.2,19671127,20201030
745310,99999,AIR FORCE ACADEMY,US,CO,KAFF,38.967,-104.817,1999,20000103,20041230
999999,3060,MONTROSE 11 ENE,US,CO,,38.544,-107.693,2560.9,20040725,20201030
999999,3061,CORTEZ 8 SE,US,CO,,37.255,-108.504,2448.8,20051102,20201030
999999,3063,LA JUNTA 17 WSW,US,CO,,37.864,-103.822,1336.9,20040803,20201030
999999,3076,GRAND JUNCTION 9 W,US,CO,,39.102,-108.735,1769.7,20090616,20140601
999999,3078,EADS 16 ENE,US,CO,,38.544,-102.503,1209.1,20090619,20140601
999999,3079,SAGUACHE 2 WNW,US,CO,,38.099,-106.171,2384.5,20090618,20140601
999999,3083,STRATTON 24 N,US,CO,,39.655,-102.622,1283.8,20090614,20140601
999999,3084,CENTER A 4 SSW,US,CO,,37.707,-106.144,2340.3,20091102,20140601
999999,3086,SPRINGFIELD 6 WSW,US,CO,,37.381,-102.719,1389,20100517,20140601
999999,3088,WOODLAND PARK 14 WSW,US,CO,,38.911,-105.265,2601.5,20100629,20140601
999999,3089,ROCKY FORD 1 ESE,US,CO,,38.039,-103.695,1271,20091101,20140601
999999,3091,KIM 9 WSW,US,CO,,37.217,-103.504,1789.2,20100515,20140601
999999,3093,GENOA 35 N,US,CO,,39.786,-103.517,1452.1,20100701,20140601
999999,3096,RIFLE 23 NW,US,CO,,39.761,-108.127,2301.2,20100720,20140601
999999,3098,EAGLE 13 SSE,US,CO,,39.483,-106.734,2622.8,20100718,20140601
999999,3099,CRAIG 30 N,US,CO,,40.948,-107.608,1986.7,20100721,20140601
999999,23012,DENVER LOWRY AFB,US,CO,LRY,39.717,-104.9,1645,19460801,19660701
999999,23036,AURORA BUCKLEY FIELD ANGB,US,CO,KBKF,39.717,-104.75,1725.8,19710101,19710101
999999,23061,ALAMOSA ARPT,US,CO,KALS,37.439,-105.861,2298.5,19480101,19721231
999999,23062,DENVER STAPLETON AIRFIELD,US,CO,KDNR,39.767,-104.883,1626.1,19670101,19721231
999999,23063,EAGLE COUNTY AP,US,CO,KEGE,39.65,-106.917,1991.9,19480101,19721231
999999,23066,GRAND JUNCTION WALKER FIELD,US,CO,KGJT,39.134,-108.54,1474.9,19480101,19721231
999999,23067,LA JUNTA MUNICIPAL AP,US,CO,KLHX,38.049,-103.512,1284.7,19480101,19650101
999999,23068,PUEBLO WB AIRPORT,US,CO,,38.233,-104.633,1464.9,19480101,19540701
999999,23070,TRINIDAD LAS ANIMAS COUNTY AP,US,CO,KTAD,37.262,-104.338,1750.5,19480101,19611001
999999,24015,AKRON WASHINGTON CO AP,US,CO,KAKO,40.167,-103.217,1408.5,19480101,19550101
999999,53005,BUENA VISTA 2 SSE,US,CO,,38.811,-106.122,2418,20100717,20140601
999999,53007,COLORADO SPRINGS 23 NW,US,CO,,39.088,-105.088,2399.4,20100630,20140601
999999,93032,DENVER NAS,US,CO,,39.7,-104.75,1695.9,19471001,19590310
999999,93037,COLORADO SPRINGS PETERSON FIE,US,CO,KCOS,38.81,-104.688,1880.6,19650101,19721231
999999,94074,NUNN 7 NNE,US,CO,,40.807,-104.755,1642.9,20030706,20201030
999999,94075,BOULDER 14 W,US,CO,,40.035,-105.541,2995.6,20030927,20201030
999999,94082,DINOSAUR 2 E,US,CO,,40.245,-108.968,1847.7,20040721,20201030
999999,94092,AKRON A 4 E,US,CO,,40.155,-103.142,1384.4,20090615,20140601
999999,94094,MEEKER 15 W,US,CO,,40.082,-108.2,1756,20100719,20140601
A00005,94076,MC ELORY AIRFIELD AIRPORT,US,CO,K20V,40.054,-106.369,2258.9,20060101,20201031
167464,33209,SOUDA BAY CRETE,GR,CR,KQNC,35.533,24.15,146.3,19730801,20041231
720545,169,CHESTER AIRPORT,US,CT,KSNC,41.384,-72.506,127.1,20090101,20201031
720545,99999,CHESTER AIRPORT,US,CT,KSNC,41.384,-72.506,126.8,20080817,20180322
725027,54788,MERIDEN MARKHAM MUNI ARPT,US,CT,KMMK,41.51,-72.828,31.4,20060101,20201031
725027,99999,MERIDEN MARKHAM MUNI,US,CT,KMMK,41.509,-72.829,31,19750911,20051231
725029,64707,WATERBURY-OXFORD AIRPORT,US,CT,KOXC,41.483,-73.133,221.3,20060101,20201031
725029,99999,WATERBURY OXFORD,US,CT,KOXC,41.479,-73.135,221,19920226,20051231
725040,94702,IGOR I SIKORSKY MEMORIAL AIRPORT,US,CT,KBDR,41.164,-73.127,1.5,19421208,20201031
725045,14758,TWEED-NEW HAVEN AIRPORT,US,CT,KHVN,41.264,-72.887,0.9,19730101,20201031
725045,99999,TWEED NEW HAVEN,US,CT,KHVN,41.25,-72.883,4,20000101,20031231
725046,14707,GROTON-NEW LONDON AIRPORT,US,CT,KGON,41.328,-72.049,3.1,19430118,20201031
725046,99999,GROTON NEW LONDON,US,CT,KGON,41.317,-72.033,3,20000101,20031231
725047,99999,NEW LONDON LEDGE COAST GUARD STA,US,CT,,41.3,-72.08,8,19750911,19870427
725048,99999,FAULKNER ISLAND COAST GUARD LIGH,US,CT,,41.22,-72.67,15,19750911,19820308
725049,99999,LITTLE GULF ISLAND LIGHT STATION,US,CT,,41.2,-72.1,6,19750911,19780910
725054,99999,NORTH CENTRAL STATE,US,CT,KSFZ,41.921,-71.483,134,19910824,20051231
725080,14740,BRADLEY INTERNATIONAL AIRPORT,US,CT,KBDL,41.938,-72.682,53.3,19410912,20201031
725084,54767,WINDHAM AIRPORT,US,CT,KIJD,41.742,-72.184,75.3,20060101,20201031
725084,99999,WINDHAM AIRPORT,US,CT,KIJD,41.75,-72.184,75,19961220,20051231
725086,54734,DANBURY MUNICIPAL AIRPORT,US,CT,KDXR,41.371,-73.483,139.3,20060101,20201031
725086,99999,DANBURY MUNI ARPT,US,CT,KDXR,41.372,-73.482,140,19730622,20051231
725087,14752,HARTFORD-BRAINARD AIRPORT,US,CT,KHFD,41.736,-72.651,5.8,19740101,20201031
725087,99999,HARTFORD BRAINARD,US,CT,KHFD,41.733,-72.65,5,20000101,20031231
725089,99999,NEW HAVEN COAST GUARD STATION,US,CT,,41.27,-72.9,3,19750911,19960701
994750,99999,NEW LONDON LEDGE - LEDGE LIGHT WEATHER S,US,CT,,41.31,-72.08,20,20040608,20201029
994890,99999,BRIDGEPORT TERMINAL,US,CT,,41.183,-73.183,16,20040803,20081231
994900,99999,NORTH MIDDLE SOUND,US,CT,,41.07,-73.13,16,20040803,20081231
994910,99999,FAYERWEATHER ISLAND,US,CT,,41.15,-73.17,16,20040803,20081231
994920,99999,NORTH CENTRAL SOUND,US,CT,,41.1,-73.15,16,20040803,20081231
994950,99999,NORTHERN OPEN SOUND  CT,US,CT,,41.12,-73.16,16,20040803,20081231
997283,99999,NEW LONDON,US,CT,,41.35,-72.08,8.5,20080101,20201029
997284,99999,NEW HAVEN,US,CT,,41.28,-72.88,10,20080101,20201029
997290,99999,BRIDGEPORT,US,CT,,41.17,-73.18,10,20080101,20201029
998155,99999,DATA BUOY 44060,US,CT,,41.267,-72.067,4,20080724,20081231
999999,14707,GROTON AAF,US,CT,KGON,41.328,-72.049,3,19500601,19631231
999999,14740,HARTFORD BRADLEY INTL AP,US,CT,KBDL,41.938,-72.683,54.6,19490101,19721231
999999,14752,HARTFORD BRAINARD FD,US,CT,KHFD,41.736,-72.651,5.8,19450101,19540810
999999,14758,NEW HAVEN TWEED AIRPORT,US,CT,KHVN,41.264,-72.887,4,19480101,19690601
999999,94702,BRIDGEPORT MUNICIPAL ARPT,US,CT,KBDR,41.158,-73.129,5.2,19470601,19721231
999999,94772,NEW HAVEN,US,CT,,41.3,-72.933,22.9,19800601,19800901
997314,99999,WASHINGTON,US,DC,,38.87,-77.02,10,20080101,20201029
999999,93738,WASHINGTON DULLES INTERNATIONAL AP,US,DC,KIAD,38.941,-77.464,98.5,19621117,19721231
724046,99999,INDIAN RIVER COAST GUARD STATION,US,DE,,38.62,-75.07,1,19750716,19920316
724083,99999,DOVER(NEXRAD),US,DE,KDOX,38.833,-75.433,15,19820625,19821121
724088,13707,DOVER AFB AIRPORT,US,DE,KDOV,39.133,-75.467,8.5,19421201,20201031
724088,99999,DOVER AFB,US,DE,KDOV,39.117,-75.467,9,20000101,20041231
724089,13781,WILMINGTON NEW CAST,US,DE,KILG,39.673,-75.601,24.4,19420801,20100731
724093,13764,SUSSEX COUNTY AIRPORT,US,DE,KGED,38.69,-75.363,14,20060101,20201030
724093,99999,SUSSEX CO,US,DE,KGED,38.683,-75.367,15,19870202,20051231
724180,13781,NEW CASTLE COUNTY AIRPORT,US,DE,KILG,39.674,-75.606,24.1,20050101,20201031
997281,99999,LEWES,US,DE,,38.78,-75.12,10,20080101,20201029
997372,99999,REEDY POINT,US,DE,,39.9,-75.57,0,20080101,20201029
997689,99999,BRANDYWINE SHOAL LGT,US,DE,,38.98,-75.1,3,20080101,20201029
997694,99999,DELAWARE CITY,US,DE,,39.58,-75.58,8,20080101,20201029
997853,99999,DATA BUOY 44054,US,DE,,38.883,-75.183,0,20080801,20081231
998154,99999,DATA BUOY 44055,US,DE,,39.117,-75.25,3,20080724,20081231
998169,99999,DELAWARE RESERVE,US,DE,,39.083,-75.433,5,20080101,20200406
999999,13781,WILMINGTON DUPONT AP,US,DE,KILG,39.673,-75.601,24.4,19480101,19721231
690090,99999,HURLBURT FLD/EXERCIS,US,FL,,30.433,-86.717,3,20081010,20081017
690524,99999,2 CWSS TMQ-53,US,FL,,30.417,-86.667,9,19910315,20020516
691804,99999,CAMP BLANDING,US,FL,KQLG,29.967,-81.983,59,19860119,19980202
692754,99999,2 CWSS TMQ-53,US,FL,,30.417,-86.667,11,19840922,19950830
692764,99999,2 CWSS TMQ-53,US,FL,,30.417,-86.667,10,19840925,19850205
693254,99999,2 CWSS FMQ-22,US,FL,,30.417,-86.667,8,19830811,20030816
720373,92824,PLANT CITY MUNICIPAL AIRPORT,US,FL,KPCM,28,-82.164,46.9,20061024,20201030
720374,92825,PETER O KNIGHT AIRPORT,US,FL,KTPF,27.916,-82.449,2.4,20061024,20201030
720383,53847,WHITING FIELD NAVAL AIR STATION-SOUTH,US,FL,KNDZ,30.704,-87.023,54.3,20070116,20201031
720399,99999,CAMP BLANDING AAF,US,FL,K2CB,29.952,-81.98,59.7,20080602,20141003
720655,235,CRYSTAL RIVER AIRPORT,US,FL,KCGC,28.867,-82.567,3.1,20090812,20201030
720655,99999,CRYSTAL RIVER,US,FL,KCGC,28.867,-82.571,2.7,20180107,20180322
720672,485,FLAGLER COUNTY EXECUTIVE AIRPORT,US,FL,KFIN,29.467,-81.206,10.1,20091103,20201030
720735,73805,NORTHWEST FLORIDA BEACHES INTL ARPT,US,FL,KECP,30.349,-85.788,17.4,20110301,20201030
720735,99999,NW PANAMA CITY INTL,US,FL,KECP,30.358,-85.799,21,20100523,20110228
720904,299,DELAND MUNICIPAL AIRPORT SIDNEY H TAYLOR FIELD,US,FL,KDED,29.067,-81.283,24.1,20120209,20201031
720904,99999,DELAND MUNI SIDNEY H TAYLOR FLD,US,FL,KDED,29.067,-81.284,24.1,20180101,20180515
720945,99999,QUINCY MUNI ARPT,US,FL,,30.6,-84.55,20.9,20110521,20130430
720946,326,FERNANDINA BEACH MUNICIPAL AIRPORT,US,FL,KFHB,30.617,-81.467,5.2,20110512,20201030
720946,99999,FERNANDINA BEACH MUNI,US,FL,KFHB,30.612,-81.461,4.9,20180111,20180515
720964,338,TYNDALL DRONE RUNWAY,US,FL,KTDR,30.033,-85.533,5.2,20120125,20201030
720964,99999,TYNDALL DRONE RUNWAY,US,FL,KTDR,30.033,-85.533,4.6,20180129,20180207
721041,99999,MARCO ISLAND,US,FL,KMKY,25.995,-81.673,1.5,20120726,20201029
721042,486,ZEPHYRHILLS MUNICIPAL AIRPORT,US,FL,KZPH,28.228,-82.156,27.4,20120813,20201030
721042,99999,ZEPHYRHILLS MUNI,US,FL,KZPH,28.228,-82.156,27.4,20180103,20180515
722010,12836,KEY WEST INTERNATIONAL AIRPORT,US,FL,KEYW,24.557,-81.755,0.3,19730101,20201030
